Name,Rating,Review Title,Review Date,Review Content
Alexa Clark,5.0 out of 5 stars,Massive book lover - CONVERTED TO KINDLE!,Reviewed in the United Kingdom on 24 May 2020,"*Detailed review ahead BUT I hope this helps*:I’ve always been one of those people who would never order a Kindle because they prefer an actual book. However, thought I’d treat myself to one for lockdown and try it out, if only to save a hell of a lot of money on books with all the extra reading I’ve been doing with this spare time!And... I LOVE IT. It doesn’t really feel like you are reading off a device as the screen is not like a smartphone glare. I also like it as I can read outside and the screen is still perfect in the sun just like paper, also don’t have the annoyance of wind blowing pages all over. It’s waterproof so you can also read in the bath without worry! The built in LED means you can read on a night before bed without getting eye strain which is perfect for me as I have always enjoyed reading a quick chapter or two to wind down before bed.The discounts available on the kindle store make this well worth the money and switch to a kindle if you are tempted but not sure if you’ll like it compared to an actual book. I’ve found I haven’t really noticed a difference, if anything I’m reading the books even quicker. I have saved as much as around 85% off the price of some books I have wanted for a long time by getting them on the kindle store. For example, as I’m a massive fan of The Last Kingdom on Netflix, I got the first 6 books in the series on the kindle store for about £6.99, as opposed to the usual retail price for the physical set of books being anything around £50-£60!!Finally, another side of the Paperwhite I like is that you can highlight and comment on quotes, you can also hold on a word and it will bring up either translations (if another language) or general info from the internet (e.g. a historical figure). I have found this particularly useful as I am going into Secondary Teaching so have highlighted a few passages which are now saved on the kindle, which I can use as thinking points/part of activities in lessons.I was torn between this and the earlier model. The earlier is cheaper, but I have found the Paperwhite is still great value for money and I believe you are getting more features to make it a better reading experience (e.g. LED, flush screen, waterproof). And I just wanted to have a newer model, I always prefer this when ordering new devices so it’s more up-to-date for any future updates.So, overall (apologies this has been very long but I have written it with people like myself in mind, who may have toyed with the idea of a kindle for years but not sure if they will like it compared to a usual book):*great value for money*haven’t missed reading a physical book. If anything I’m now reading books faster*unbelievable discounts available on kindle store - you are saving a HELL of a lot of money compared to physical books*great features - LED and waterproof*other perks e.g. highlighting and saving passages/quotes to your device"
Vee,5.0 out of 5 stars,Fabulous and better than the normal kindle by far,Reviewed in the United Kingdom on 24 September 2020,"So much better and worth the extra money over the normal kindle.I was sceptical about the light setting but it is really good. The dark mode is also better for my eyes.  The best thing about this however, is that I can lock the font settings which have driven me crazy for 6 years with my other 2 normal kindles I have had.  Hooray!!The bonus is that it is water resistant and  as I am very clumsy it is a good idea.Extremely happy and reading again for hours with no issues.Battery power is no problem as long as wifi is off and I'm not using audible,  which I dont."
tfoxon,2.0 out of 5 stars,Beware of buying a Kindle with Special Offers.,Reviewed in the United Kingdom on 21 July 2019,I have had a kindle and loved it for many years and have bought and read a number of books over the years. It is probably the technology that i have used the most. The most annoying thing for me and that is why I have only given it 3 stars is the the special offers adverts on it. I didn’t know what that meant when I bought it. I thought buying meant I would receive something in the box with special offers but no it is adverts on the home screen and on the screensaver which for me ruins the whole design and feel of the product. If it wasn’t for the adverts I would have given the kindle 5 stars as i do love it. Please be warned if you buy a kindle with special offers it does mean you will get adverts. I would rather have paid the extra if i had know.
Kevin Mansell,5.0 out of 5 stars,Best ereader I have tried so far,Reviewed in the United Kingdom on 30 December 2019,"Light & easy to read with lots of storage space.  The Kindle Paperwhite is simply very easy to get along with as the menu system makes it a doddle to change settings such as font size, spacing, etc.My only real criticism so far is that the reading screen itself could be bigger if the edges around the screen were not so large.  Other than this the only niggle is through my own clumsiness as several times I have opened up the menu's unintentionally when trying to turn the page, though I'm sure that once I am better familiarised/practiced with it this will no longer be a problem.  Overall I find it better than my previous Kobo e-reader (though that is now several years old)."
RJ,5.0 out of 5 stars,Fantastic e-reader,Reviewed in the United Kingdom on 14 August 2020,"I love the kindle paperwhite. I have had one for the last four years, but unfortunately lost my last one. I use it daily so bought this as a replacement very quickly.It is easy to fit in a pocket or handbag. It is very lightweight, easy to hold. I love the flexibility of the e-reader to change the font size. When I'm tired, it's easy to make the font slightly larger. I have come to prefer the kindle to physical books. I love to read different books depending on my mood, so having that flexibility is brilliant for me. The great advantage if this version of the paperwhite is that it's waterproof. A definite bonus for when at the beach, pool or simply relaxing in the bath."
gg,5.0 out of 5 stars,converted!,Reviewed in the United Kingdom on 29 August 2019,"Firstly I have to say we are massive book fans and could not really decide to make the transition to Kindle for travelling for ages - the physical feel of a book is just different. However I have to say we now love the Kindle (I bought 2 outright and am glad I did or else my husband might have stolen mine off me. :)The menu takes some getting used to - it's not as intuitive/user friendly as many other electronic products I use, so reading the user guide makes sense, but once you work it out it is brilliant and both my husband and I used it very successfully on our holiday this year. It is brilliant for travel & for reading in bed when your partner wants to sleep already.We LOVE our new Kindles and would definitely recommend it."
Welsh Cath,5.0 out of 5 stars,A superb Kindle,Reviewed in the United Kingdom on 10 March 2020,"After two weeks of daily use, I’m very happy with my purchase. It’s lightweight and easy to use. The battery life is superb and the touch screen is good, although a little slow at times. I’ve used the kindle commuting, to read in bed and in the bath. The fact that it has tolerance to water makes me a bit more comfortable about bath time reading!The built in light is effective without being intrusive; I can read in bed at night without waking up my husband.It’s easy to access your library of books and quick to download.Overall an excellent Kindle and I thoroughly recommended."
Sean Barker,4.0 out of 5 stars,Faulty but replaced,Reviewed in the United Kingdom on 17 June 2020,"Pretty much useless.I had the previous paperwhite which was excellent but this models battery life is so poor that unless its fully charged every couple of days its dead.I have it on airplane mode, wifi off, bluetooth off and there is no indexing going on. I also have the back-light completely off.Very very dissapointed*****UPDATE*****I have since returned this and had it replaced with a new one.The replacement works perfectly and has the sort of battery life you would expect.My original was clearly faulty.If you do end uo with one that has a battery that only lasts a couple of days return it.It could be thst mine eas a one off or maybe there is a bad batch out there.I have now adjusted the star rating from one to four"
Maggie,1.0 out of 5 stars,Received incorrect order- Misleading and very disappointed customer.,Reviewed in the United Kingdom on 11 November 2020,"I ordered x2 Kindles on Amazon Prime day, one was a Sage colour and the other Twilight Blue. Amazon were offering a cover and charger as part of a bundle deal. I decided to purchase the bundle deal for both of the Kindles. I noticed that the colour of the Kindle had reverted to black so I cancelled the order and got in touch with customer service. I was assured that I would in fact receive the colour I ordered and not to worry. I have since received both Kindles and they were in fact not the colours I ordered but the black coloured Kindle.I have been in touch with Customer service numerous times about this issue and I thought I had resolved it yesterday but the Amazon Representative made a replacement with the exact same black coloured kindle instead of the Sage and Twilight Blue one. I am after spending over 3hrs back and forth over chat to finally be told that as part of the offer you do not have the option of choosing a coloured kindle and that you can only have the black one. If I was aware of this on the day of purchase I would have not purchased the bundle deal.Very disappointed with the lack of customer service and confusion regarding this. It seemed very straight forward to me that you could just replace the Kindle with a different colour. I am a Prime Member customer also and was waiting almost a month to receive one of the kindles. Extremely disappointed with the entire service."
Greycynic,5.0 out of 5 stars,5.0 out of 5 stars,Reviewed in the United Kingdom on 30 July 2020,Verified Purchase
J. Malcolm,4.0 out of 5 stars,Works great,Reviewed in the United Kingdom on 15 June 2020,"I had initially left a lower rated review due to what appeared to be a battery failure one day after my Replacement Window closed. I am retracting that and giving it a four star rating insteadThe device has been great for the year that I've used it apart from the recent battery scare. The device gave me a low battery warning while using it in bed. No problem. I plugged it into a USB cable going into a wall adaptor. What I didn't realise is that either the cable or the wall charger had failed. Next day the battery was completely flat. Battery icon with exclamation point. I tried ever combination of USB cable and charger I could find to no avail. What you have to do is hold in the power button for something like 40 seconds. Then plug it into a USB charger that can supply decent power. Not just your laptop or whatever. Either a decent working wall charger or a powered USB hub and leave it until fully charged.One niggle I did find when using it was it was sometimes possible to accidentally turn the screen off while reading, just from changing grip on it."
ceejaysteady,3.0 out of 5 stars,Waste of money changing from 2014 model,Reviewed in the United Kingdom on 19 November 2018,"This is the 3rd Kindle I have had and I realised immediately that I had probably wasted my money in buying it. Right at the start having transferred my current library onto it I found that I was unable to turn the pages to see the book list content in my  library without inadvertently opening a title. The menu navigation was a bit difficult on my last model but this takes it to a new height. I also see that I get a note of the page I am at in a book but no longer get the ""Page... of ...."" display. Added to that my mistake of getting the sharp cornered and uncomfortable fabric cover and I am at the stage of returning both.I will give it a couple of days and then decide"
Emma G,5.0 out of 5 stars,I love my Kindle Paperwhite,Reviewed in the United Kingdom on 11 November 2020,"Can hold all my books, the audiobook with bluetooth headphones in the car, a pleasure to read on and the light doesn't glare. Bed reading doesn't disturb my partner.Always have a next book to hand, charge lasts weeks, one handed reading (read and eat = no reading time lost at work lunchtime) and takes up the space of a very thin novella.I love my Kindle and go everywhere with it. I read so much more with the Kindle and find it easier than holding paper books especially since a vast majority of the books I read are 400+ pages."
MaoMao13,1.0 out of 5 stars,The never-ending font size pop up box that obscures your reading,Reviewed in the United Kingdom on 17 March 2019,"I bought this model for my 50th birthday, after my old Kindle Voyage finally died. Very soon after buying this Kindle, it became impossible to read due to the font adjustment box appearing at the top of the page and refusing to disappear. This happened at the beginning of EVERY chapter in EVERY book. A forty minute call to Amazon resulted only in a factory reset, which only temporarily sorted the issue. The same problem is now back, Amazon haven't sorted it, and I feel ripped off. I've used Kindle e-readers for years and have been very loyal to the brand, but this one is impossible!I really miss my old Kindle Voyage. This device is not a patch on it"
Brummie Sue,1.0 out of 5 stars,Really bad experience,Reviewed in the United Kingdom on 19 July 2019,"This must be the 4th Kindle I've had and ordered it because it was advertised as having a long battery life and my current kindle is needing charging more and more frequently.  First one arrived and it wouldn't synchronise with my library on Amazon.  Spent ages on chat and speaking to the helpline, restarting it resetting it and getting nowhere.  They decided I needed a replacement so send me another kindle.  Same problem again.  I decided to manually download just the books I hadn't read but then noticed the battery was running down really quickly.  I spent more time speaking to the helpline being asked to reset, restart it and eventually decided I didn't want to spend anymore time trying to get it fixed so returned the lot (kindle, cover and charger) for a refund.  I'm back to using my old kindle.  I've only given it 1 star because I couldn't give it a zero.  Hopefully the new model when its released will be much better!"
Rar89,5.0 out of 5 stars,A brilliant solution for my overflowing book collection,Reviewed in the United Kingdom on 7 January 2020,"I bought this with my Christmas money so I suppose you can say that it was a present. I got a Kindle when they first came out eons ago which I loved and when I lost that I got a Kindle Fire which I wasn't too fond of.I absolutely love the Kindle Paperwhite. I've had it about two weeks and I've already got through three books. I love knowing that I've got a tonne of books with me on the go and I never have to worry about battery life. Also, it is very quick and easy to buy more books. This is ideal for those who love to take a book with them wherever they go and for those whose book shelves are slightly overfilled."
minajarrow,3.0 out of 5 stars,Not impressed as has many bad points compared to my kindle voyage.,Reviewed in the United Kingdom on 7 February 2021,I bought this to replace a kindle voyage and wish I had not bothered. It has glitches. It takes a longer time to wake up than my old one. It freezes frequently and is not responsive when trying to reboot. Trying to touch the screen to go back a page is very hit and miss and sometimes the screen scrambles. The voyage was a far better device.
Amanda Kemp,5.0 out of 5 stars,I love it!,Reviewed in the United Kingdom on 25 August 2020,"I had a first generation kindle and loved it at first but then just liked the feel of a book and knowing how much longer you had in a chapter before you turned the light off at 2am!  Now I have arthritis in my hands and holding a book is now painful after reading for a while.  So I decided to get a new kindle.  I love it! Can’t stop reading it, the best thing is the light.  You can read in bed without struggling to see and read in the garden with no reflections.  It’s light to hold and can even read with one hand and a dog on your lap."
SP,5.0 out of 5 stars,Good Product at the Right Price,Reviewed in the United Kingdom on 25 July 2019,"This isn't my first Kindle reader.  I have been impressed in the past and this current model is no exception.  For those opting for the cheaper model I would say that it will deliver, but you will miss the built-in light which allows reading at night or in reduced light situations.  For those who fear keeping sleeping partners awake by reading late at night the Paperwhite should allay their fears.  The 8GB version is fine for me as I tend to remove books from the reader when I have finished them.  For those who like to keep their whole collection downloaded they may want a bigger capacity.  I find my readers excellent for holidays.  They are light, compact and easily stored.  I would recommend."
Oleg Afanasyev,3.0 out of 5 stars,Usability is inferior compared to non touch devices,Reviewed in the United Kingdom on 25 August 2020,"Kindle is barely usable for anything other than linear fiction reads while holding it in right hand.UI is very slow making touch interface a PITA to use.- selecting more than a single word is annoying, you have to do it slowly as display update lags seconds- navigating few pages back or forth is bad as it remembers number of strokes/touches made and keeps scrolling at 1 page/sec pace. you have to painfully wait for page to flip before doing next gesture so not to overshoot- you can't wipe a dust or a hair from the screen because it would flip the page :D- you can't maintain a solid grip and flip pages with the same hand unless you have a large hand, so forget about reading it in transport while holding handrailsAll those problems didn't exist in button operated readers.The only advantage this kindle has is backlight which is the reason i have to use it to read at night."
JCG,3.0 out of 5 stars,Not My Favourite,Reviewed in the United Kingdom on 17 September 2019,"As I read in the bath and my last Kindle ended up in the sea when I fell down some harbour steps, I decided on the waterproof version.  This is my 4th Kindle and the most disappointing one to date.  It's very slow to react when turned on and I really do not like the fact that there is no raised frame to protect the screen.  This means that I often go backwards by mistake whilst reading and have to be very careful to hold it on its edges.I love Kindles and would never be without one, and I am sure that the ""no edges"" design is part of the waterproofing, but this is not my favourite."
Mr Pete Panesar,4.0 out of 5 stars,Migrated from Kobo but have only one issue,Reviewed in the United Kingdom on 21 November 2018,"After having used Kobo devices for the last few years, I finally moved across to the new 2018 waterproof Kindle.. Absolutely brilliant.. However there is one thing which keeps catching me out.. each time I stand the device upright and place it on a desk to read, it power off!  This is due to the main power button being located at the bottom... this could work it it was a sliding switch as per the Kobe or it they reposition the on/off button to the side or top of the Kindle..Only a minor note, other than that it is worth the dollar and the backlight is great.I would like to think that there may be some feedback from amazon on perhaps a rethink on the power button?"
Anna W,1.0 out of 5 stars,Dont buy!,Reviewed in the United Kingdom on 19 January 2021,"I wish I hadn't bought it - have spent two days struggling with this and now it seems to have turned itself permanently.  My old Kindle is a very basic one (probably 8 years old) but so much better;  the only problem with it was that the battery wasn't holding a charge for very long.  It's impossible to navigate this new version, impossible to delete unwanted books which transferred (I had to log into my  Amazon account to do this).  Frustrating and unresponsive,  not user-friendly.  The supposed leather cover feels like cheap plastic.  How do I return the Kindle and cover now I have downloaded all my books?"
brummielass,5.0 out of 5 stars,Finally changed from old Kindle,Reviewed in the United Kingdom on 11 June 2019,"Finally decided to change from my original Kindle of 2012 to the new Kindle Paper White. Whilst it is lovely to read it is heavier to hold than my previous Kindle now that I have put the plastic cover on!The transfer of my vast library of books did happen but unfortunately as many of the books were held in different folders and they transferred into my library on mass into one very large group of books,  I am having trouble finding an individual book at the moment. I had hoped that the books would be transferred into the folders that I created on my old kindle but this was not to be.The new paperwhite lay out is taking some getting used to but with perseverance I am sure I will eventually get things sorted."
